title,price,manufacturing_year,mileage,color,fuel,hp,eurostandard,cubic_capacity,gearbox,type,region,url
Mercedes-Benz GLE 300d* 4 MATIC* PANO*,104 700 лв.,октомври 2021 г.,109 000,Тъмно сив,Дизелов,245,6,1950,автоматична,Джип,София,https://www.mobile.bg/obiava-21734968211699658-mercedes-benz-gle-300d-4-matic-pano
Mercedes-Benz GLE 300d 4M * ГАРАНЦИЯ * 7-МЕСТЕН PANO 360 ПЕЧКА,109 900 лв.,август 2020 г.,88 000,Черен,Дизелов,245,6,1950,автоматична,Джип,София,https://www.mobile.bg/obiava-21706104258439736-mercedes-benz-gle-300d-4m-garantsiya-7-mesten-pano-360-pechka
Mercedes-Benz GLE 350d 4MATIC 6+ 1,95 000 лв.,април 2021 г.,209 000,Бял,Дизелов,272,6,2925,автоматична,Джип,Русе,https://www.mobile.bg/obiava-21738568959299680-mercedes-benz-gle-350d-4matic-6-1
Mercedes-Benz GLE 300d 4Matic AMG line,97 999 лв.,октомври 2020 г.,131,Черен,Дизелов,243,6,1950,автоматична,Джип,София,https://www.mobile.bg/obiava-21739871807432400-mercedes-benz-gle-300d-4matic-amg-line
Mercedes-Benz GLE 300D 4 MATIC,119 900 лв.,ноември 2021 г.,87 664,Бял,Дизелов,245,6,2000,автоматична,Джип,Велико Търново,https://www.mobile.bg/obiava-21734340770261325-mercedes-benz-gle-300d-4-matic
Mercedes-Benz GLE 300d,119 900 лв.,декември 2021 г.,151 900,Бял,Дизелов,272,6,1997,автоматична,Джип,София,https://www.mobile.bg/obiava-21739292604891266-mercedes-benz-gle-300d
Mercedes-Benz GLE 450  450 4Matic AMG Line,129 570 лв.,май 2020 г.,54 500,Сив,Бензинов,367,6,3000,автоматична,Джип,Стара Загора,https://www.mobile.bg/obiava-21738089485959331-mercedes-benz-gle-450-450-4matic-amg-line
Mercedes-Benz GLE 300D AMG paket 6+ 1,108 000 лв.,юли 2019 г.,67 000,Бежов,Дизелов,245,6,3000,автоматична,Джип,Враца,https://www.mobile.bg/obiava-21691751930313263-mercedes-benz-gle-300d-amg-paket-6-1
Mercedes-Benz GLE 300d mild hybrid 7 местен ГАРАНЦИЯ до 15.03.2028,114 600 лв.,март 2023 г.,61 600,Сив,Дизелов,272,6,1993,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21737454440326319-mercedes-benz-gle-300d-mild-hybrid-7-mesten-garantsiya-do-15-03-2028
Mercedes-Benz GLE,122 000 лв.,февруари 2022 г.,24 000,Сив,Дизелов,248,6,2000,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21735506200402736-mercedes-benz-gle
Mercedes-Benz GLE 300De AMG* 4MATIC* 6+ 1* ГАРАНЦИЯ*,149 900 лв.,юни 2023 г.,25 000,Черен,Хибриден,270,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21727984155484256-mercedes-benz-gle-300de-amg-4matic-6-1-garantsiya
