title,price,manufacturing_year,mileage,color,fuel,hp,type,region,url,is_amg
mercedes-benz gle 450 amg германия,122000,2020,69000,черен,бензинов,367.0,джип,софия,https://www.mobile.bg/obiava-21726520455361450-mercedes-benz-gle-450-amg-germaniya,1
mercedes-benz gle 450 amg 4matic,128000,2020,63935,сив,бензинов,367.0,джип,софия,https://www.mobile.bg/obiava-21739980509048421-mercedes-benz-gle-450-amg-4matic,1
mercedes-benz gle 450 amg  amg,109760,2019,89000,зелен,бензинов,367.0,джип,софия,https://www.mobile.bg/obiava-21692961090996746-mercedes-benz-gle-450-amg-amg,1
mercedes-benz gle 450 amg amg/4matic/hud/обдухване/панорама/6+ 1,114900,2019,87000,тъмно сив,бензинов,367.0,джип,варна,https://www.mobile.bg/obiava-21727763206062287-mercedes-benz-gle-450-amg-amg-4matic-hud-obduhvane-panorama-6-1,1
mercedes-benz gle 450 amg,119000,2019,49000,тъмно сив,бензинов,367.0,джип,пловдив,https://www.mobile.bg/obiava-21739361942303495-mercedes-benz-gle-450-amg,1
mercedes-benz gle 450 amg 4 matik line,127000,2023,50000,светло сив,бензинов,367.0,джип,велико търново,https://www.mobile.bg/obiava-21726224655328695-mercedes-benz-gle-450-amg-4-matik-line,1
mercedes-benz gle 450 amg d 4m amg/mbux,177000,2024,17135,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-21739092616907182-mercedes-benz-gle-450-amg-d-4m-amg-mbux,1
mercedes-benz gle 450 amg,174438,2024,9900,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-21711975713856612-mercedes-benz-gle-450-amg,1
mercedes-benz gle 450 amg d 4matic coupe,209800,2024,8000,черен,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-21737117537402174-mercedes-benz-gle-450-amg-d-4matic-coupe,1
mercedes-benz gle 450 amg 4matic 6+ 1,210800,2025,8000,черен,дизелов,367.0,джип,софия,https://www.mobile.bg/obiava-21740489956278899-mercedes-benz-gle-450-amg-4matic-6-1,1
mercedes-benz gle 450 amg d coupe/ amg/ 4matic,176398,2023,20,сив,дизелов,367.0,купе,софия,https://www.mobile.bg/obiava-11721914524115979-mercedes-benz-gle-450-amg-d-coupe-amg-4matic,1
mercedes-benz gle 450 amg d 4matic coupe,218500,2024,8000,бял,дизелов,367.0,купе,бургас,https://www.mobile.bg/obiava-21737375671230535-mercedes-benz-gle-450-amg-d-4matic-coupe,1
mercedes-benz gle 500 gle550 * amg* v8* pano* harman ka* massage,56000,2017,129800,черен,бензинов,449.0,джип,софия,https://www.mobile.bg/obiava-21737443207128307-mercedes-benz-gle-500-gle550-amg-v8-pano-harman-ka-massage,1
mercedes-benz gle 500 дистроник/камера 360/белгия/ бартер,58800,2017,156000,сив,бензинов,333.0,джип,софия,https://www.mobile.bg/obiava-21737548740073527-mercedes-benz-gle-500-distronik-kamera-360-belgiya-barter,0
mercedes-benz gle 500 amg* designo* panorama* 360cam* h&k* full* top*,63777,2017,187000,черен,plug-in хибрид,445.0,джип,софия,https://www.mobile.bg/obiava-21739451589708961-mercedes-benz-gle-500-amg-designo-panorama-360cam-h-k-full-top,1
mercedes-benz gle 500 amg* panorama* keyless* distr* harman kardon,68600,2017,127000,черен,бензинов,455.0,джип,софия,https://www.mobile.bg/obiava-21724053419782617-mercedes-benz-gle-500-amg-panorama-keyless-distr-harman-kardon,1
mercedes-benz gle 500 amg,69990,2018,185000,син,бензинов,455.0,джип,бургас,https://www.mobile.bg/obiava-21714220145245096-mercedes-benz-gle-500-amg,1
mercedes-benz gle 500 amg,65000,2016,198000,черен,бензинов,455.0,джип,софия,https://www.mobile.bg/obiava-21737620799612933-mercedes-benz-gle-500-amg,1
mercedes-benz gle 500,95000,2017,54000,бял,бензинов,455.0,джип,софия,https://www.mobile.bg/obiava-21679406598172651-mercedes-benz-gle-500,0
mercedes-benz gle 53 4matic night package,125000,2020,80000,черен,бензинов,435.0,джип,пловдив,https://www.mobile.bg/obiava-21737641367447290-mercedes-benz-gle-53-4matic-night-package,0
mercedes-benz gle 53 4matic,127000,2020,100000,бял,хибриден,435.0,джип,плевен,https://www.mobile.bg/obiava-21708195661026513-mercedes-benz-gle-53-4matic,0
mercedes-benz gle 53 4matic + amg eq boost exclusive,129900,2020,156567,черен,бензинов,435.0,джип,софия,https://www.mobile.bg/obiava-21732702106986532-mercedes-benz-gle-53-4matic-amg-eq-boost-exclusive,1
